TimeStamp,Name,CPU_CORES,CPU_CORES_LOG,CPU_FREQ,RAM_TOTAL_GB,RAM_AV_GB,RAM_USED_GB,SWAP_TOTAL_GB,SWAP_USED_GB,CPU%,RAM%,RC,WC,RB,WB,dt,accuracy,precision,recall,f1
23:11:23:21:04:50,SS_MobileNet,2,2,2808.002,17.28,15.3,1.59,0.95,0.0,55.77073170731708,11.302439024390234,7.317073170731708,0.5853658536585366,675140.6829268293,4195.90243902439,4.100000000000001,0.75,0.9666666666666666,0.75,0.7833333333333333
23:11:23:21:05:19,SS_ConvNeXtTiny,2,2,2808.002,17.28,15.19,1.71,0.95,0.0,64.21888111888119,11.935314685314664,58.8006993006993,4.2027972027972025,4034459.748251748,29703.16083916084,24.50000000000008,0.75,1.0,0.75,0.8333333333333333
23:11:23:21:05:26,SS_EfficientNetB0,2,2,2808.002,17.28,15.14,1.75,0.95,0.0,64.62006172839517,11.970679012345665,52.04012345679013,3.756172839506173,3579689.0864197533,26573.432098765432,3.800000000000002,1.0,1.0,1.0,1.0
23:11:23:21:05:35,SS_DenseNet121,2,2,2808.002,17.28,15.22,1.67,0.95,0.0,65.10592991913761,11.950943396226425,45.57142857142857,3.3180592991913747,3142139.859838275,23516.11859838275,4.699999999999999,0.65,1.0,0.65,0.7366666666666667
23:11:23:21:05:47,SS_NASNetMobile,2,2,2808.002,17.28,15.18,1.72,0.95,0.0,65.23549883990736,11.96287703016244,80.77958236658932,6.002320185614849,5727044.306264501,42347.50812064965,5.999999999999995,0.8,1.0,0.8,0.8366666666666667
23:11:23:21:05:54,SS_ResNet50,2,2,2808.002,17.28,15.07,1.83,0.95,0.0,66.0488372093025,12.062367864693462,114.87737843551795,8.386892177589852,8418821.412262157,59145.20084566596,4.200000000000001,0.8,1.0,0.8,0.8464285714285715
23:11:23:21:06:02,SS_Xception,2,2,2808.002,17.28,14.9,1.99,0.95,0.0,67.567172675522,12.219165085389005,103.1821631878558,7.527514231499051,7567192.895635674,53084.78178368122,5.399999999999997,0.85,1.0,0.85,0.9041666666666666
23:11:23:21:06:05,SS_MobileNet,2,2,2808.002,17.28,14.92,1.97,0.95,0.0,67.61358695652189,12.28478260869567,98.58152173913044,7.344202898550725,7235309.449275362,51571.01449275362,2.500000000000001,0.95,1.0,0.95,0.97
23:11:23:21:06:30,SS_ConvNeXtTiny,2,2,2808.002,17.28,15.02,1.88,0.95,0.0,67.09226804123705,12.456443298969068,70.17654639175258,5.480670103092783,5157280.989690722,39292.0412371134,22.40000000000005,0.75,0.95,0.75,0.8380952380952381
23:11:23:21:06:36,SS_EfficientNetB0,2,2,2808.002,17.28,15.0,1.89,0.95,0.0,67.08310727496907,12.482983970406911,67.19235511713933,5.258939580764488,4941932.586929716,37747.84710234279,3.5000000000000018,0.8,1.0,0.8,0.8630952380952381
23:11:23:21:06:44,SS_DenseNet121,2,2,2808.002,17.28,15.1,1.8,0.95,0.0,67.20220162224786,12.485631517960616,63.18771726535342,5.003476245654693,4648808.120509849,35834.06720741599,5.1999999999999975,0.7,1.0,0.7,0.7714285714285714
23:11:23:21:06:56,SS_NASNetMobile,2,2,2808.002,17.28,15.07,1.83,0.95,0.0,67.19739696312348,12.496529284164868,59.18546637744035,4.733188720173536,4357402.099783081,33905.284164859004,5.899999999999995,0.8,1.0,0.8,0.8400000000000001
23:11:23:21:07:02,SS_ResNet50,2,2,2808.002,17.28,14.98,1.91,0.95,0.0,67.47728215767617,12.54170124481326,56.6441908713693,4.526970954356846,4172918.9709543567,32428.08298755187,4.200000000000001,0.75,0.95,0.75,0.8628571428571428
23:11:23:21:07:09,SS_Xception,2,2,2808.002,17.28,14.84,2.06,0.95,0.0,68.23264705882329,12.623627450980385,53.569607843137256,4.303921568627451,3950162.3215686274,30744.09411764706,5.599999999999996,0.9,1.0,0.9,0.925
23:11:23:21:07:13,SS_MobileNet,2,2,2808.002,17.28,15.07,1.82,0.95,0.0,68.20315186246393,12.628271251193892,52.22445081184336,4.259789875835721,3853428.385864374,30334.655205348616,2.700000000000001,0.75,0.9666666666666666,0.75,0.73
